bias,alpha_0,alpha_1,alpha_2
-0.0853402125876,-1.14470770082,-0.629174543354,-0.171765590267
-0.0791120279056,-1.14470770082,-0.629174543354,-0.171765590267
-0.0791120279056,-1.14470770082,-0.629174543354,-0.171765590267
-0.0791120279056,-1.14470770082,-0.629174543354,-0.171765590267
-0.0791120279056,-1.14470770082,-0.629174543354,-0.171765590267
-0.0791120279056,-1.14470770082,-0.629174543354,-0.171765590267
-0.0791120279056,-1.14470770082,-0.629174543354,-0.171765590267
-0.0791120279056,-1.14470770082,-0.629174543354,-0.171765590267
-0.0791120279056,-1.14470770082,-0.629174543354,-0.171765590267
-0.0791120279056,-1.14470770082,-0.629174543354,-0.171765590267
-0.0791120279056,-1.14470770082,-0.629174543354,-0.171765590267
-0.0791120279056,-1.30217592803,0.0658475728063,0.23173787024
-0.0791120279056,-1.30217592803,0.0658475728063,0.23173787024
-0.0791120279056,-1.30217592803,0.0658475728063,0.23173787024
